,,,
Notas Tarea 2,,,
,,,
N° Alumno,P1,P2,Nota
17205689,"1,00","3,20","2,1"
15206785,"4,11","7,00","5,6"
18639283,"2,78","6,56","4,7"
18640176,"6,11","6,12","6,1"
13634372,"1,00","1,00","1,0"
18642578,"6,11","7,00","6,6"
17624223,"7,00","7,00","7,0"
18636713,"7,00","7,00","7,0"
1762598J,"3,89","7,00","5,4"
18637302,"5,44","7,00","6,2"
19639821,"4,33","5,39","4,9"
18636497,"3,22","5,39","4,3"
16622766,"5,89","3,78","4,8"
16205693,"4,78","3,34","4,1"
14632039,,,
19636520,"1,00","1,00","1,0"
17642752,"6,56","6,41","6,5"
17642728,"1,00","1,00","1,0"
18638082,"1,00","1,00","1,0"
17637449,"3,00","7,00","5,0"
18636578,"7,00","7,00","7,0"
18639496,"7,00","5,83","6,4"
16638565,"3,22","2,61","2,9"
15638812,"7,00","6,41","6,7"
1863737J,"5,44","6,85","6,1"
16636678,"6,33","7,00","6,7"
17642531,"7,00","7,00","7,0"
17625378,"4,33","2,61","3,5"
17642140,"4,11","3,34","3,7"
18638279,"4,11","3,20","3,7"
18637655,"3,67","3,34","3,5"
14635178,"1,00","1,00","1,0"
20641923,"5,00","3,20","4,1"
1663960J,"3,22","2,46","2,8"
19640609,"1,44","7,00","4,2"
16202767,"6,33","6,85","6,6"
16623460,"3,67","1,00","2,3"
17636930,"1,00","1,00","1,0"
18641938,"2,56","1,00","1,8"
14619164,"7,00","5,98","6,5"
16207084,"3,22","1,00","2,1"
18640877,"6,11","7,00","6,6"
17636671,"7,00","3,20","5,1"
17637554,"4,11","6,71","5,4"
18643019,"4,11","5,54","4,8"
17637155,"4,56","2,61","3,6"
14631652,"4,11","7,00","5,6"
1461961J,"1,00","1,00","1,0"
16637232,"6,56","2,46","4,5"
1663991J,"7,00","7,00","7,0"
18637663,"1,00","7,00","4,0"
18637086,"1,00","2,61","1,8"
16207238,"5,00","6,56","5,8"
18636926,"5,00","7,00","6,0"
18637140,"5,22","6,41","5,8"
15636453,"4,11","1,15","2,6"
16635655,"3,22","2,61","2,9"
1663697J,"4,11","7,00","5,6"
17638658,"1,00","1,00","1,0"
16202759,"7,00","7,00","7,0"
16636287,"3,44","1,00","2,2"
18638759,"7,00","2,76","4,9"
18638171,"5,67","2,90","4,3"
18637043,"7,00","7,00","7,0"
1921264J,"3,89","2,46","3,2"
16207211,"6,56","2,46","4,5"
17636868,"7,00","2,61","4,8"
17639298,"1,00","1,00","1,0"
18639925,"5,00","6,71","5,9"
16636848,"3,00","3,20","3,1"
18208967,"1,00","1,00","1,0"
16637623,"7,00","3,34","5,2"
1764030J,"6,33","2,32","4,3"
18207979,"5,22","5,54","5,4"
17637171,"7,00","3,20","5,1"
19632401,"4,56","3,20","3,9"
17636744,"3,22","7,00","5,1"
15636461,"1,00","1,00","1,0"
19636555,"3,67","7,00","5,3"
18637264,"4,33","2,90","3,6"
18638104,"6,56","7,00","6,8"
15635635,"3,89","1,29","2,6"
Promedio,"4,36","4,28","4,3"
Mínimo,"1,00","1,00","1,0"
Máximo,"7,00","7,00","7,0"
